length_title,length_description,category,caption,licensedContent,privacyStatus,view_count,like_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country,days_online,published_month,duration_sec
99,213,Entertainment,False,True,public,33711858,91359,1937,397832806,1230000,73,US,1600,9,766
30,357,Film & Animation,False,True,public,6283404,98296,3903,95796266,247000,208,PH,571,6,13
62,344,Howto & Style,False,True,public,3168875,17087,450,150882539,480000,558,GB,2263,11,394
65,1309,Howto & Style,False,True,public,129497,545,40,510846258,1150000,47134,FR,1259,8,60
68,117,Howto & Style,False,True,public,2440936,45605,692,507643683,2650000,1557,US,924,7,1650
28,294,Howto & Style,False,True,public,13269348,159200,514,69167302,453000,1806,US,378,1,34
100,1494,Education,False,True,public,70607015,641098,10462,715556642,3730000,966,BD,758,12,532
100,244,Science & Technology,False,False,public,48,1,0,161824,318,31,VN,1,1,25
80,180,Howto & Style,False,True,public,543322,4586,77,507643683,2650000,1557,US,2062,5,91
63,1521,Howto & Style,False,False,public,518383,16985,578,69167302,453000,1806,US,1056,3,569
54,3507,Howto & Style,False,True,public,1091759,29053,644,27440211,233000,212,US,885,8,958
99,353,People & Blogs,False,False,public,41897,608,144,42226,712,3,FR,791,11,286
39,1632,Music,False,False,public,8804,78,17,671026,4180,125,US,129,9,222
46,1371,People & Blogs,False,True,public,29032634,162235,4835,74029019,213000,150,GB,694,2,695
28,608,Gaming,False,True,public,565232,10887,512,1226708662,2070000,2730,US,138,9,22
58,630,Howto & Style,False,True,public,10050290,63247,2718,284260133,1590000,247,NO,2176,2,306
72,2010,Education,False,True,public,5955618,99485,1499,715556642,3730000,966,BD,921,7,253
39,0,Entertainment,False,True,public,110094,4564,23,1601176,31600,254,US,984,5,31
83,1492,Education,False,True,public,6983654,93688,1273,715556642,3730000,966,BD,303,3,482
44,4827,Howto & Style,False,True,public,3140062,40355,3968,19831775,115000,225,CA,612,5,2449
20,2713,Howto & Style,False,True,public,587955,32022,2172,35875340,388000,221,US,1358,5,1038
47,0,Music,False,True,public,119896,6334,17,426884023,517000,232,US,263,5,15
95,2434,Gaming,False,True,public,1319874,26426,1176,3234513817,3680000,6277,US,565,7,105
54,0,Entertainment,False,False,public,10603599,280703,333,913958386,814000,344,US,271,4,25
75,1707,Science & Technology,True,True,public,324873,13574,661,3902712656,10900000,3818,US,17,1,1065
40,433,Entertainment,False,True,public,9992653,581311,4649,1460885750,2940000,1609,US,150,8,44
52,524,Entertainment,False,False,public,542887,2480,122,1822002,5720,3986,IN,1665,7,36
44,438,Entertainment,False,True,public,3940804,43494,1557,1558632233,7210000,2204,US,845,9,1206
73,873,Howto & Style,False,True,public,16337835,337736,1081,280874965,548000,658,US,437,11,24
34,281,Education,False,True,public,10339965,725709,1724,1460885750,2940000,1609,US,167,8,60
50,717,People & Blogs,False,True,public,576314,6073,451,294994031,474000,126,US,309,3,515
46,0,Entertainment,False,False,public,410012,20919,184,913958386,814000,344,US,230,6,18
33,0,Entertainment,False,False,public,3448565,188085,613,913958386,814000,344,US,303,3,24
64,1417,Howto & Style,True,True,public,1260774,33546,1201,1575614789,11700000,3287,IN,1138,12,805
50,0,Entertainment,False,False,public,1468095,81524,343,913958386,814000,344,US,255,5,27
47,388,Entertainment,False,True,public,9699014,642838,3502,1460885750,2940000,1609,US,280,4,59
50,0,Entertainment,False,False,public,943233,51245,227,913958386,814000,344,US,269,4,21
49,0,Entertainment,False,False,public,4412406,148099,389,913958386,814000,344,US,223,6,25
68,3478,People & Blogs,False,True,public,3477,576,167,23549700,167000,3930,GB,2,1,751
28,0,Entertainment,False,False,public,565889,33029,341,913958386,814000,344,US,251,5,17
27,680,Howto & Style,False,True,public,4606114,251830,401,1518481003,1470000,436,CA,622,5,33
46,0,Entertainment,False,False,public,10185732,307159,1296,913958386,814000,344,US,244,5,24
37,0,Entertainment,False,False,public,1046791,69249,112,913958386,814000,344,US,279,4,23
62,411,Entertainment,False,True,public,2322727,159943,1889,1460885750,2940000,1609,US,254,5,60
38,0,Entertainment,False,False,public,2759122,137258,549,913958386,814000,344,US,257,5,16
37,0,Entertainment,False,False,public,639730,33771,106,913958386,814000,344,US,265,5,18
45,4828,Pets & Animals,False,True,public,39520,701,51,10515430,64400,237,US,539,7,602
